date,machine,config,operation,latency_ns,throughput_bytes_s
2026-05-24,local-test,baseline,seq_mem_read_single,21.17,3023610561
2026-05-24,local-test,baseline,seq_mem_read_threaded,18897554.09,227276359439
2026-05-24,local-test,baseline,mem_random_rw,44.01,1454269466
2026-05-24,local-test,baseline,hash_non_crypto,26.22,2440982559
2026-05-24,local-test,baseline,hash_crypto,236.89,270168721
2026-05-24,local-test,baseline,syscall,18.32,
2026-05-24,local-test,baseline,context_switch,2347.43,
2026-05-24,local-test,baseline,ssd_read_seq,701.47,11678355885
2026-05-24,local-test,baseline,ssd_write_no_fsync,3688.66,2220857849
2026-05-24,local-test,baseline,ssd_write_fsync,4086597.83,2004601
2026-05-24,local-test,baseline,ssd_read_random,51128.93,160222411
2026-05-24,local-test,baseline,tcp_echo,21712.00,1509211802
2026-05-24,local-test,baseline,sort_64bit,,1040479312
2026-05-24,local-test,baseline,compression,33048.21,31728679804
2026-05-24,local-test,baseline,decompression,77782.08,13480945488
2026-05-24,local-test,baseline,serialization_fast,32.55,4792849580
2026-05-24,local-test,baseline,deserialization_fast,56.16,2777569493
2026-05-24,local-test,baseline,serialization,346.18,413084154
2026-05-24,local-test,baseline,deserialization,224.73,636314595
2026-05-27,gcp-c4-standard-8-lssd,baseline,seq_mem_read_single,31.06,2060260537
2026-05-27,gcp-c4-standard-8-lssd,baseline,seq_mem_read_threaded,61168259.18,70215620869
2026-05-27,gcp-c4-standard-8-lssd,baseline,mem_random_rw,217.59,294131632
2026-05-27,gcp-c4-standard-8-lssd,baseline,hash_non_crypto,40.07,1597346343
2026-05-27,gcp-c4-standard-8-lssd,baseline,hash_crypto,116.40,549831712
2026-05-27,gcp-c4-standard-8-lssd,baseline,hash_siphash,39.98,1600982550
2026-05-27,gcp-c4-standard-8-lssd,baseline,syscall,103.21,
2026-05-27,gcp-c4-standard-8-lssd,baseline,context_switch,3260.89,
2026-05-27,gcp-c4-standard-8-lssd,baseline,ssd_read_seq,1052.39,7784182046
2026-05-27,gcp-c4-standard-8-lssd,baseline,ssd_write_no_fsync,15222.36,538155768
2026-05-27,gcp-c4-standard-8-lssd,baseline,ssd_write_fsync,154870.09,52895948
2026-05-27,gcp-c4-standard-8-lssd,baseline,ssd_read_random,93215.28,87882588
2026-05-27,gcp-c4-standard-8-lssd,baseline,tcp_echo,52574.16,623271913
2026-05-27,gcp-c4-standard-8-lssd,baseline,sort_64bit,,710417318
2026-05-27,gcp-c4-standard-8-lssd,baseline,compression,34742.71,30181179063
2026-05-27,gcp-c4-standard-8-lssd,baseline,decompression,160922.25,6516041104
2026-05-27,gcp-c4-standard-8-lssd,baseline,serialization_fast,44.06,3540400020
2026-05-27,gcp-c4-standard-8-lssd,baseline,deserialization_fast,64.68,2411904780
2026-05-27,gcp-c4-standard-8-lssd,baseline,serialization,481.65,296896086
2026-05-27,gcp-c4-standard-8-lssd,baseline,deserialization,305.58,467956262
2026-05-26,Prince.local,baseline,seq_mem_read_single,42297335.43,101542266256
2026-05-26,Prince.local,baseline,seq_mem_read_threaded,18366658.88,233845868397
